tile,chip,x,y,f1,f2,labels
35JKL,19,255,255,0.5807525,0.600305,7
35JKL,19,255,254,0.5807525,0.600305,7
35JKL,19,255,253,0.5807525,0.600305,7
35JKL,19,255,252,0.5835025,0.6066575,7
35JKL,19,255,251,0.5835025,0.6066575,7
35JKL,19,255,250,0.5835025,0.6066575,7
35JKL,19,255,249,0.5796525,0.6025875,7
35JKL,19,255,248,0.5796525,0.6025875,7
35JKL,19,255,247,0.5796525,0.6025875,7
35JKL,19,255,246,0.5754725,0.5966475,7
35JKL,19,255,245,0.5754725,0.5966475,7
35JKL,19,255,244,0.5754725,0.5966475,7
35JKL,19,255,243,0.5738775,0.592055,7
35JKL,19,255,242,0.5738775,0.592055,7
35JKL,19,255,241,0.5738775,0.592055,7
35JKL,19,255,240,0.56692,0.5876825,7
35JKL,19,255,239,0.56692,0.5876825,7
35JKL,19,255,238,0.56692,0.5876825,7
35JKL,19,255,237,0.5584225,0.58298,7
35JKL,19,255,236,0.5584225,0.58298,7
35JKL,19,255,235,0.5584225,0.58298,7
35JKL,19,255,234,0.552895,0.57792,5
35JKL,19,255,233,0.552895,0.57792,7
35JKL,19,255,232,0.552895,0.57792,7
35JKL,19,255,231,0.553775,0.578745,7
35JKL,19,255,230,0.553775,0.578745,7
35JKL,19,255,229,0.553775,0.578745,7
35JKL,19,255,228,0.5572675,0.5788,7
35JKL,19,255,227,0.5572675,0.5788,7
35JKL,19,255,226,0.5572675,0.5788,7
35JKL,19,255,225,0.557955,0.5794875,7
35JKL,19,255,224,0.557955,0.5794875,7
35JKL,19,255,223,0.557955,0.5794875,7
35JKL,19,255,222,0.55669,0.5835575,7
35JKL,19,255,221,0.55669,0.5835575,7
35JKL,19,255,220,0.55669,0.5835575,7
35JKL,19,255,219,0.562685,0.5881775,7
35JKL,19,255,218,0.562685,0.5881775,7
35JKL,19,255,217,0.562685,0.5881775,7
35JKL,19,255,216,0.5673325,0.5925225,7
35JKL,19,255,215,0.5673325,0.5925225,7
35JKL,19,255,214,0.5673325,0.5925225,7
35JKL,19,255,213,0.5723375,0.601295,7
35JKL,19,255,212,0.5723375,0.601295,7
35JKL,19,255,211,0.5723375,0.601295,7
35JKL,19,255,210,0.58606,0.6150175,7
35JKL,19,255,209,0.58606,0.6150175,7
35JKL,19,255,208,0.58606,0.6150175,7
35JKL,19,255,207,0.6036875,0.6301975,7
35JKL,19,255,206,0.6036875,0.6301975,7
35JKL,19,255,205,0.6036875,0.6301975,7
35JKL,19,255,204,0.618125,0.63402,7
35JKL,19,255,203,0.618125,0.63402,7
35JKL,19,255,202,0.618125,0.63402,7
35JKL,19,255,201,0.61906,0.6337725,7
35JKL,19,255,200,0.61906,0.6337725,7
35JKL,19,255,199,0.61906,0.6337725,7
35JKL,19,255,198,0.6156225,0.63006,7
35JKL,19,255,197,0.6156225,0.63006,7
35JKL,19,255,196,0.6156225,0.63006,7
35JKL,19,255,195,0.6167775,0.6377325,7
35JKL,19,255,194,0.6167775,0.6377325,7
35JKL,19,255,193,0.6167775,0.6377325,7
35JKL,19,255,192,0.6229375,0.637155,7
35JKL,19,255,191,0.6229375,0.637155,6
35JKL,19,255,190,0.6229375,0.637155,6
35JKL,19,255,189,0.619005,0.6347075,6
35JKL,19,255,188,0.619005,0.6347075,6
35JKL,19,255,187,0.619005,0.6347075,6
